1B,Josh Satin,0.6,15,PIT@NYM,"$2,400 ",Add
2B,Ramon Santiago,0.7,15,CIN@LOS,"$2,400 ",Add
SS,Andrelton Simmons,1.5,47,BOS@ATL,"$2,400 ",Add
C,John Murphy,1.5,15,NYY@STL,"$2,400 ",Add
SS,Zack Cozart,1.2,45,CIN@LOS,"$2,400 ",Add
OF,Collin Cowgill,1.5,43,LAA@SEA,"$2,300 ",Add
OF,Jim AdduciDL,1.5,9,TEX@MIN,"$2,300 ",Add
2B,Scooter Gennett,1.5,49,BAL@MIL,"$2,300 ",Add
OF,Nate McLouth,0.7,43,MIA@WAS,"$2,300 ",Add
C,Chris Gimenez,3.8,4,TEX@MIN,"$2,300 ",Add
2B,Chris Getz,0.7,10,TAM@TOR,"$2,300 ",Add
OF,David Lough,0.9,36,BAL@MIL,"$2,300 ",Add
1B,Tyler Moore,1.1,32,MIA@WAS,"$2,300 ",Add
OF,J.B. Shuck,1.3,21,LAA@SEA,"$2,300 ",Add
OF,Roger Bernadina,0.5,33,CIN@LOS,"$2,300 ",Add
2B,Johnny Giavotella,1.5,10,HOU@KAN,"$2,300 ",Add
2B,Charlie Culberson,0.7,28,COL@PHI,"$2,300 ",Add
SS,Andrew Romine,1.1,34,DET@OAK,"$2,300 ",Add
1B,Jason Giambi,1.2,7,CLE@CWS,"$2,300 ",Add
SS,Adeiny Hechavarria,1.5,51,MIA@WAS,"$2,300 ",Add
